answer,assessment_stage,audio_file,block_index,chance_level,corpus_file_name,d,difficulty,image,item,item_id,item_uid,orig_item_num,prompt,randomize,required_selections,response_alternatives,source,task,task_dir,task_id,time_limit,trial_num,trial_type
543,test_response,number-identification-39,0,0.25,math-corpus-retest,,-2,,543,math_identify_543,math_identify_543,,Choose the 543.,,,"513,593,523",Zehra,math,levante-math-dev,egma-math,5000,,Number Identification
,third_response,sds-2match-prompt2,2,,same-different-selection-item-bank,,0.758737,,Touch two pictures that are the same in a different way.,sds-fist5-7-third,sds_4match_choice3,,,,2,"med-red-triangle-4-striped,med-blue-triangle-3-gray,med-green-star-2,sm-green-circle-striped,med-yellow-square-3-black",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,7,4-match
tf1_47_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,,,0.959,,tf1_47_M_ss1,tf1_47_M_ss1,,47,Choose the best pattern to fill in the blank.,,,"tf1_47_T2_ss1_md,tf1_47_T4_ss1_md,tf1_47_T3_ss1_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
0.71,test_response,number-line-slider-prompt1,2,0.1,math-corpus-retest,,0,,"0,1",math_slider_071_1,math_slider_071_1,,Move the slider to the indicated number.,,,,Zehra,math,levante-math-dev,egma-math,5000,,Number Line Slider
tf1_78_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,,,-1.87,,tf1_78_M_ss2,tf1_78_M_ss2,,78,Choose the best pattern to fill in the blank.,,,"tf1_78_T3_ss2_md,tf1_78_T4_ss2_md,tf1_78_T2_ss2_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
tf1_9_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,,,0.317,,tf1_9_M_ss2,tf1_9_M_ss2,,9,Choose the best pattern to fill in the blank.,,,"tf1_9_T3_ss2_md,tf1_9_T2_ss2_md,tf1_9_T4_ss2_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
68-banana-and-juice,test_response,trog-item-68,,0.25,trog-item-bank,-0.9895605059,,,the girl has not only food but also a drink,trog-item-68,trog_notonly_girl_notonly_food_drink,68,Touch the picture that shows...,,,"68-drink-juice,68-eat-banana,68-hands-in-pockets",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,not only X but also Y
crayons,test_response,ToM-scene-18-q3-false_belief,18,0.33,CO-theory-of-mind-retest-B,,,,18d,ToM-scene-18-q3-false_belief,tom_second_order_false_belief_3,,What does George think Kat bought at the toy shop?,at_block_level,,"basketball,storybook",Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,false_belief_question
25,test_response,number-line-prompt1,0,0.25,math-item-bank,,-0.5,,"0,100",line2num-25-100,math_line_25_100,,Choose the number that is marked on the number line.,,,"10,45,5",Siegler,math,levante-math-dev,egma-math,5000,,Number Line 4afc
tf3_31_T1_ss1_pd,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_31_M_ss1,tf3_31_M_ss1,matrix_set3_pd_mat31,31,Choose the best pattern to fill in the blank.,,,"tf3_31_T4_ss1_md,tf3_31_T2_ss1_md,tf3_31_T3_ss1_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
med-red-star-black,test_response,same-different-selection-touch-1,0,0.25,same-different-selection-item-bank,,-4.9103763,,Choose the card with 1 star.,sds-dim-test-1,sds_dimensions_number,,,,1,"med-red-star-2-black,med-red-star-3-black,med-red-star-4-black",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,5,test-dimensions
,instructions,math-intro2,0,,math-corpus-retest,,,,,math-intro2,,,Here is another section. The first few are for practice.,,,,Amy,math,levante-math-dev,egma-math,,,instructions
Dp-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,-7.1,,Dp-280,Dp-280,mrot_2d_duck_080,38,Choose the matching picture.,,,"Dp-000-silh,Dn-000-silh",2d-duck,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
,instructions,ToM-scene-16-instruct4,,,CO-theory-of-mind-retest-B,,,,16e,ToM-scene-16-instruct4,,,"So Sophie looks everywhere and she can’t find her shoe. Dad gets mad at Sophie, because she lost her shoe and now they are late for school.",no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
14,test_response,number-line-slider-prompt1,2,0.1,math-item-bank,,-0.5,,"0,100",slider-14-100,math_slider_14_100,,Move the slider to the indicated number.,,,,Siegler,math,levante-math-dev,egma-math,5000,,Number Line Slider
Dn-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,0.66669196,,Dn-120,Dn-120,,31,Choose the matching picture.,,,"Dp-000-silh,Dn-000-silh",2d-duck,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
617,test_response,number-identification-40,0,0.25,math-corpus-retest,,-2,,617,math_identify_617,math_identify_617,,Choose the 617.,,,"627,619,671",Zehra,math,levante-math-dev,egma-math,5000,,Number Identification
divan,test_response,vocab-item-132,1,0.25,vocab-item-bank,,,,divan,divan,vocab_word_divan,,,,,"butterdish,handrail,lintroller",dutch,vocab,levante-vocabulary-dev,vocab,,,test
tf1_1_T1_ss3_md,practice_response,matrix-reasoning-instruct2,1,0.25,,,,,tf1_1_M_ss3,tf1_1_M_ss3,,1,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,,,"tf1_1_T2_ss3_md,tf1_1_T3_ss3_md,tf1_1_T4_ss3_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,practice
,instructions,same-different-selection-instruct3,2,,same-different-selection-item-bank,,1,,"Now you're going to see three cards, and you're going to choose two that are the same in some way. And then you're going to see the same cards again, and pick two cards that are the same in a different way.",sds-instruct3,,,,,0,,,same-different-selection,levante-same-different-dev,same-different-selection,,,instructions
,fourth_response,sds-2match-prompt2,2,,same-different-selection-item-bank,,1.8597702,,Touch two pictures that are the same in a different way.,sds-fist5-6-fourth,sds_4match_choice4,,,,2,"med-red-circle-black,med-red-square-3,med-green-triangle-2-striped,med-blue-star-2-gray,med-yellow-circle-4-gray",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,6,4-match
4,test_response,counting-1,3,0.33,math-item-bank,,5.953466,,4cars,counting-afc-4,math_count_4,,How many cars is this?,,,"1,2",Zach,math,levante-math-dev,egma-math,5000,,Counting AFC
tf1_34_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,,,1.043,,tf1_34_M_ss3,tf1_34_M_ss3,,34,Choose the best pattern to fill in the blank.,,,"tf1_34_T2_ss3_md,tf1_34_T4_ss3_md,tf1_34_T3_ss3_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
55-brown-cow-chase-white-cat,test_response,trog-item-55,,0.25,trog-item-bank,-1.506043694,,,the cow chasing the cat is brown,trog-item-55,trog_postmod_cow_chasing_cat_brown,55,Touch the picture that shows...,,,"55-brown-cat-chase-white-cow,55-white-cat-chase-brown-cow,55-white-cow-chase-brown-cat",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,postmodified subject
,first_response,sds-2match-prompt1,2,,same-different-selection-item-bank,,-3.4771184,,Touch two pictures that are the same.,sds-fist4-10-first,sds_3match_choice1,,,,2,"med-red-triangle,med-yellow-circle-gray,med-green-square-2-striped,med-yellow-star-4-striped",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,10,3-match
an11-000,test_response,mental-rotation-prompt1,3,0.5,mental-rotation-item-bank,,23.48328875,,an13-280,an13-280,mrot_3d_shape_080,90,Choose the matching picture.,,,"an11-000,ap11-000",3D,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,3D
12,test_response,addition-prompt2,1,0.25,math-item-bank,,-1.5,,9+3,9+3,math_add_9_3,54,Add the numbers.,,,"13,10,14",EGMA,math,levante-math-dev,egma-math,5000,,Addition
percussion,test_response,vocab-item-153,1,0.25,vocab-item-bank,1.9276,,,percussion,percussion,vocab_word_percussion,,,,,"accordion,cello,musicstand",dutch,vocab,levante-vocabulary-dev,vocab,,,test
10,test_response,addition-prompt2,1,0.25,math-item-bank,,-1.5,,7+3,7+3,math_add_7_3,51,Add the numbers.,,,"11,9,8",EGMA,math,levante-math-dev,egma-math,5000,,Addition
8,test_response,missing-number-prompt2,0,0.25,math-item-bank,,-2,,"5, 6, 7, _",missing-num-8by1,math_missing_5_6_7_x,35,What number goes here?,,,"9,10,12",EGMA,math,levante-math-dev,egma-math,5000,,Missing Number
,instructions,ToM-scene1-instruct3,1,,theory-of-mind-item-bank,,,,1c,ToM-scene1-instruct3,,3,So now it’s reading time and Madison wants her book.,no,,,ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
520,test_response,missing-number-prompt2,0,0.25,math-item-bank,,-2,,"550, 540, 530, _",missing-num-520,math_missing_550_540_530_x,43,What number goes here?,,,"510,500,525",EGMA,math,levante-math-dev,egma-math,5000,,Missing Number
0.56,test_response,number-line-slider-prompt1,2,0.1,math-corpus-retest,,0,,"0,1",math_slider_056_1,math_slider_056_1,,Move the slider to the indicated number.,,,,Zehra,math,levante-math-dev,egma-math,5000,,Number Line Slider
18,test_response,number-identification-24,0,0.25,math-corpus-retest,,-2.5,,18,math_identify_18,math_identify_18,,Choose the 18.,,,"9,17,16",Zehra,math,levante-math-dev,egma-math,5000,,Number Identification
,instructions,ToM-scene2-instruct1,2,,CO-theory-of-mind-retest-A,,,,2a,ToM-scene2-instruct1,,7,"This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue!",no,,,ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
no,test_response,ToM-scene-8-q4-false_belief,8,0.5,theory-of-mind-retest-A,,,,8g,ToM-scene-8-q4-false_belief,tom_moral_reasoning_false_belief_2,,Is Allie being mean and naughty for taking Mike’s pencil?,no,,yes,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,false_belief_question
25,test_response,addition-prompt2,1,0.25,math-item-bank,,-1,,18+7,18+7,math_add_18_7,66,Add the numbers.,,,"23,24,26",EGMA,math,levante-math-dev,egma-math,5000,,Addition
5,practice_response,multiplication-prompt1,1,0.25,math-corpus-retest,,,,1x5,math_multiply_1_5,,,Multiply the numbers and choose the correct answer.,,,"6,3,10",Zach,math,levante-math-dev,egma-math,5000,,Multiplication
,instructions,math-intro1,0,,math-corpus-retest,,,,,math-intro1,,,Here is the first section. Let's start with some practice!,,,,Amy,math,levante-math-dev,egma-math,,,instructions
P2p-000-silh,test_response,mental-rotation-prompt1,2,0.5,mental-rotation-item-bank,,4.75,,P2p-240,P2p-240,,,Choose the matching picture.,,,"P2p-000-silh,P2n-000-silh",2d-polygon2,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,
,second_response,sds-2match-prompt2,2,0.75,same-different-selection-item-bank,,-0.6553883,,Touch two cards that are the same in a different way.,sds-fist3-7-second,sds_2match_choice2,,,,2,"med-red-square,sm-red-circle,lg-yellow-circle",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,7,2-match
tf3_67_T1_ss1_pd,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_67_M_ss1,tf3_67_M_ss1,matrix_set3_pd_mat67,67,Choose the best pattern to fill in the blank.,,,"tf3_67_T3_ss1_md,tf3_67_T2_ss1_md,tf3_67_T4_ss1_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
Dp-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,0.41699675,,Dp-320,Dp-320,,40,Choose the matching picture.,,,"Dp-000-silh,Dn-000-silh",2d-duck,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
,second_response,sds-2match-prompt2,2,,same-different-selection-item-bank,,-1.0786745,,Touch two pictures that are the same in a different way.,sds-fist5-2-second,sds_4match_choice2,,,,2,"med-green-circle-4,med-blue-star-3-gray,med-red-triangle-2,med-green-square-black,med-yellow-square-3-striped",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,2,4-match
tf3_45_T1_ss3_pd,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_45_M_ss3,tf3_45_M_ss3,matrix_set3_pd_mat45,45,Choose the best pattern to fill in the blank.,,,"tf3_45_T4_ss3_md,tf3_45_T2_ss3_md,tf3_45_T3_ss3_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
basket,test_response,ToM-scene13-q2-reality_check,13,0.5,theory-of-mind-retest-B,,,,13c,ToM-scene13-q2-reality_check,tom_reality_known_reality_check,,And where is his pencil really?,at_block_level,,box,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,reality_check_question
941,test_response,number-line-slider-prompt1,2,0.1,math-item-bank,,-0.2,,"0,1000",slider-941-1000,math_slider_941_1000,,Move the slider to the indicated number.,,,,Siegler,math,levante-math-dev,egma-math,5000,,Number Line Slider
bn14-000,test_response,mental-rotation-prompt1,3,0.5,mental-rotation-item-bank,,4.728539105,,bn14-280,bn14-280,mrot_3d_shape_080,107,Choose the matching picture.,,,"bp14-000,bn14-000",3D,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,3D
,second_response,sds-2match-prompt2,2,,same-different-selection-item-bank,,-1.4383118,,Touch two pictures that are the same in a different way.,sds-fist4-8-second,sds_3match_choice2,,,,2,"med-red-square-3-gray,med-blue-star,med-blue-square-4-striped,med-yellow-triangle-2",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,8,3-match
6,test_response,number-identification-22,3,0.25,math-item-bank,,4.80035,,6,num-ident-6,math_identify_6,,Choose the 6.,,,"9,15,5",Zehra,math,levante-math-dev,egma-math,5000,,Number Identification
,instructions,ToM-scene2-instruct3,2,,CO-theory-of-mind-retest-A,,,,2c,ToM-scene2-instruct3,,9,"Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.",no,,,ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
tf1_37_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,0.558,,tf1_37_M_ss3,tf1_37_M_ss3,matrix_set1_md_mat37,37,Choose the best pattern to fill in the blank.,,,"tf1_37_T4_ss3_md,tf1_37_T2_ss3_md,tf1_37_T3_ss3_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
,third_response,sds-2match-prompt2,2,,same-different-selection-item-bank,,0.758737,,Touch two pictures that are the same in a different way.,sds-fist5-8-third,sds_4match_choice3,,,,2,"med-yellow-star-2-black,med-red-square-4-black,med-green-star-striped,med-blue-triangle-3-gray,med-red-circle-3",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,8,4-match
,instructions,ToM-scene-11-instruct1,11,,theory-of-mind-retest-A,,,,11a,ToM-scene-11-instruct1,,,"This is Josh. Earlier today, Josh was tidying his room. Josh put his big basketball on his desk, his medium-sized soccer ball on his table, and his small baseball down on the bottom shelf.",no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
186,test_response,number-line-slider-prompt1,2,0.1,math-corpus-retest,,-0.2,,"0,1000",math_slider_186_1000,math_slider_186_1000,,Move the slider to the indicated number.,,,,Zehra,math,levante-math-dev,egma-math,5000,,Number Line Slider
watermelon,test_response,vocab-item-085,1,0.25,vocab-item-bank,,,,watermelon,watermelon,vocab_word_watermelon,,,,,"screwdriver,strawberry,crane",clip,vocab,levante-vocabulary-dev,vocab,,,test
1,practice_response,number-identification-1,0,0.25,math-corpus-retest,,-2.5,,1,math_identify_1,,0,Choose the number 1.,,,"3,6,9",EGMA,math,levante-math-dev,egma-math,5000,,Number Identification
,third_response,sds-2match-prompt2,2,,same-different-selection-item-bank,,0.758737,,Touch two pictures that are the same in a different way.,sds-fist5-3-third,sds_4match_choice3,,,,2,"med-red-square-2-gray,med-blue-circle,med-green-star-4-striped,med-green-triangle-3-gray,med-yellow-star-black",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,3,4-match
tf3_52_T1_ss1_pd,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_52_M_ss1,tf3_52_M_ss1,matrix_set3_pd_mat52,52,Choose the best pattern to fill in the blank.,,,"tf3_52_T4_ss1_md,tf3_52_T2_ss1_md,tf3_52_T3_ss1_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
,test_response,same-different-selection-both-large,1,,same-different-selection-item-bank,,-3.6418366,"lg-yellow-triangle, lg-blue-circle",Here are two pictures. Something's the same. They are both large.,sds-something-same-4-instr,,,,,0,,AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,4,something-same-1
,instructions,ToM-scene-11-instruct1,11,,CO-theory-of-mind-retest-A,,,,11a,ToM-scene-11-instruct1,,,"This is Josh. Earlier today, Josh was tidying his room. Josh put his big basketball on his desk, his medium-sized soccer ball on his table, and his small baseball down on the bottom shelf.",no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
tf1_48_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,0.713,,tf1_48_M_ss2,tf1_48_M_ss2,matrix_set1_md_mat48,48,Choose the best pattern to fill in the blank.,,,"tf1_48_T4_ss2_md,tf1_48_T2_ss2_md,tf1_48_T3_ss2_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
calendar,test_response,vocab-item-107,1,0.25,vocab-item-bank,-3.7755,,,calendar,calendar,vocab_word_calendar,,,,,"hourglass,sundial,notebook",manual,vocab,levante-vocabulary-dev,vocab,,,test
17-boy-sitting,test_response,trog-item-17,,0.25,trog-item-bank,-2.863393249,,,the boy is not running,trog-item-17,trog_negative_boy_not_run,17,Touch the picture that shows...,,,"17-boy-running,17-cat-napping,17-horse-standing",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,negative
8-running,test_response,trog-item-8,,0.25,trog-item-bank,-3.499903865,,,running,trog-item-8,trog_verb_running,8,Choose the picture of...,,,"8-dancing,8-drinking,8-reading",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,verb
tf3_27_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_27_M_ss3,tf3_27_M_ss3,matrix_set3_md_mat27,27,Choose the best pattern to fill in the blank.,,,"tf3_27_T4_ss3_md,tf3_27_T2_ss3_md,tf3_27_T3_ss3_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
P1p-000-silh,test_response,mental-rotation-prompt1,2,0.5,mental-rotation-item-bank,,3.5,,P1p-160,P1p-160,,,Choose the matching picture.,,,"P1p-000-silh,P1n-000-silh",2d-polygon1,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,
1/4,test_response,subtraction-prompt2,1,0.25,math-item-bank,,0.6,,5/12-1/6,5/12-1/6,math_fraction_512_16_14,,Subtract the numbers.,,,"4/12,4/6,5/12",George,math,levante-math-dev,egma-math,5000,,Fraction
15,test_response,addition-prompt2,1,0.25,math-corpus-retest,,-1,,11+4,math_add_11_4,math_add_11_4,,Add the numbers.,,,"13,16,14",Zehra,math,levante-math-dev,egma-math,5000,,Addition
1,test_response,number-line-slider-prompt1,2,0.1,math-item-bank,,-0.5,,"0,10",slider-1-10,math_slider_1_10,,Move the slider to the indicated number.,,,,Siegler,math,levante-math-dev,egma-math,5000,,Number Line Slider
,,,,,,,,,,,,0,ChildSurveyIntro,,,,Instructions,child-survey,,child-survey,,,
yellowstack,test_response,ToM-scene-17-q2-reality_check,17,0.33,theory-of-mind-retest-B,,,,17b,ToM-scene-17-q2-reality_check,tom_reference_reality_check,,Which stack of books was Mika talking about?,at_block_level,,"bluestack,redstack",Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,reality_check_question
Rn-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,3.32249883,,Rn-200,Rn-200,,15,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
,first_response,sds-2match-prompt1,2,,same-different-selection-item-bank,,-2.913335,,Touch two pictures that are the same.,sds-fist5-2-first,sds_4match_choice1,,,,2,"med-green-circle-4,med-blue-star-3-gray,med-red-triangle-2,med-green-square-black,med-yellow-square-3-striped",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,2,4-match
0.4,test_response,number-line-slider-prompt1,2,0.1,math-corpus-retest,,0,,"0,1",math_slider_04_1,math_slider_04_1,,Move the slider to the indicated number.,,,,Zehra,math,levante-math-dev,egma-math,5000,,Number Line Slider
591,test_response,number-line-slider-prompt1,2,0.1,math-corpus-retest,,-0.2,,"0,1000",math_slider_591_1000,math_slider_591_1000,,Move the slider to the indicated number.,,,,Zehra,math,levante-math-dev,egma-math,5000,,Number Line Slider
782,test_response,number-line-prompt1,0,0.25,math-corpus-retest,,-0.2,,"0,1000",math_line_782_1000,math_line_782_1000,,Choose the number that is marked on the number line.,,,"580,885,692",Zehra,math,levante-math-dev,egma-math,5000,,Number Line 4afc
12,test_response,missing-number-prompt2,4,0.25,adult-reasoning-item-bank,0.565,,,"18, 17, 15, _, 8",MD211-K1,ar_reason_18_17_15_x_8,11,What number goes here?,,,"13,9,11",HRS2010,adult-reasoning,levante-math-dev,adult-reasoning,,,Missing Number
12,test_response,subtraction-prompt2,1,0.25,math-item-bank,,-0.9,,26-14,26-14,math_subtract_26_14,92,Subtract the numbers.,,,"13,11,15",EGMA,math,levante-math-dev,egma-math,5000,,Subtraction
proud,test_response,ToM-scene3-q3-emotion_reasoning,3,0.25,theory-of-mind-item-bank,,,,3e,ToM-scene3-q3-emotion_reasoning,tom_interpretation_emotion_reasoning,24,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?",yes,,"surprised,sad,scared",ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,emotion_reasoning_question
Rp-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,1.021258159,,Rp-120,Rp-120,mrot_2d_rabbit_120,10,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
ap1-000,practice_response,mental-rotation-prompt2,2,0.5,mental-rotation-item-bank,,,,ap1-000,ap1-000,,,Choose the matching picture.,,,"ap1-000,an1-000",3D,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,3D
coats,test_response,ToM-scene2-q6-reality_check,2,0.5,CO-theory-of-mind-retest-B,,,,2f_new2,ToM-scene2-q6-reality_check,tom_moral_reasoning_reality_check_2,16,Can you help Ethan find his book? Is it on the shelf or under the coats?,at_block_level,,shelf,ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,reality_check_question
6,test_response,number-line-slider-prompt1,2,0.1,math-corpus-retest,,-0.5,,"0,10",math_slider_6_10,math_slider_6_10,,Move the slider to the indicated number.,,,,Zehra,math,levante-math-dev,egma-math,5000,,Number Line Slider
Dp-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,1.013785031,,Dp-040,Dp-040,mrot_2d_duck_040,27,Choose the matching picture.,,,"Dp-000-silh,Dn-000-silh",2d-duck,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
tf1_14_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,1.536,,tf1_14_M_ss1,tf1_14_M_ss1,matrix_set1_md_mat14,14,Choose the best pattern to fill in the blank.,,,"tf1_14_T3_ss1_md,tf1_14_T2_ss1_md,tf1_14_T4_ss1_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
,instructions,ToM-scene8-instruct2,8,,theory-of-mind-retest-A,,,,8b,ToM-scene8-instruct2,,,"And then she went outside to play, see? Here’s Allie playing outside. And while she was outside playing, Allie’s yellow pencil fell down from on top of the shelf to behind the backpack shelf, see?",no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
arbor,test_response,vocab-item-156,1,0.25,vocab-item-bank,1.4844,,,arbor,arbor,vocab_word_arbor,,,,,"castle,barn,tipi",dutch,vocab,levante-vocabulary-dev,vocab,,,test
639,test_response,number-line-slider-prompt1,2,0.1,math-item-bank,,-0.2,,"0,1000",slider-639-1000,math_slider_639_1000,,Move the slider to the indicated number.,,,,Siegler,math,levante-math-dev,egma-math,5000,,Number Line Slider
tf1_15_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,1.732,,tf1_15_M_ss2,tf1_15_M_ss2,matrix_set1_md_mat15,15,Choose the best pattern to fill in the blank.,,,"tf1_15_T3_ss2_md,tf1_15_T4_ss2_md,tf1_15_T2_ss2_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
877,test_response,number-identification-41,0,0.25,math-corpus-retest,,-2,,877,math_identify_877,math_identify_877,,Choose the 877.,,,"707,787,747",Zehra,math,levante-math-dev,egma-math,5000,,Number Identification
30,test_response,multiplication-prompt2,1,0.25,math-corpus-retest,,0.1,,6x5,math_multiply_6_5,math_multiply_6_5,,Multiply the numbers.,,,"35,25,11",Zehra,math,levante-math-dev,egma-math,5000,,Multiplication
153,test_response,number-comparison-prompt2,0,0.5,math-item-bank,,-2,,"146, 153",num-comp-153,math_compare_146_153,29,Which is larger?,,,146,EGMA,math,levante-math-dev,egma-math,5000,,Number Comparison
basket,test_response,ToM-scene13-q2-reality_check,13,0.5,CO-theory-of-mind-retest-B,,,,13c,ToM-scene13-q2-reality_check,tom_reality_known_reality_check,,And where is his pencil really?,at_block_level,,box,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,reality_check_question
480,test_response,multiplication-prompt2,1,0.25,math-item-bank,,0.2,,10x48,10x48,math_multiply_10_48,,Multiply the numbers.,,,"408,840,464",George,math,levante-math-dev,egma-math,5000,,Multiplication
,instructions,ToM-scene7-instruct1,7,,CO-theory-of-mind-retest-A,,,,7a,ToM-scene7-instruct1,,,"Here is Diana. This morning at school, Diana put her toy in this drawer, because she didn’t want anyone to find it.",no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
med-yellow-star,test_response,same-different-selection-touch-white,0,0.25,same-different-selection-item-bank,,-4.9103763,,Choose the star on the white card.,sds-dim-test-white,sds_dimensions_texture,,,,1,"med-yellow-star-black,med-yellow-star-gray,med-yellow-star-striped",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,2,test-dimensions
tumble,test_response,vocab-item-127,1,0.25,vocab-item-bank,-1.2288,,,tumble,tumble,vocab_word_tumble,,,,,"applaud,chisel,scythes",dutch,vocab,levante-vocabulary-dev,vocab,,,test
