identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,pt-PT
ToM-scene13-q1-false_belief,"theory-of-mind, Stories",Where will Gabriel look for his pencil?,¿Dónde buscará Gabriel su lápiz?,Wo wird Gabriel nach seinem Bleistift suchen?,,,,,,Onde Gabriel procurará por seu lápis?
box,"theory-of-mind, Stories",In the box,En la cartuchera,In der Federtasche,,,,,,Na caixa
basket,"theory-of-mind, Stories",In the basket,En la canasta,Im Becher,,,,,,Na cesta
ToM-scene13-q2-reality_check,"theory-of-mind, Stories",And where is his pencil really?,¿Y dónde está realmente su lápiz?,Und wo ist sein Bleistift wirklich?,,,,,,E onde realmente está o lápis dele?
ToM-scene14-instruct1,"theory-of-mind, Stories","This afternoon when he came home, Bobby put his soccer ball on the table.","Esta tarde, cuando llegó a casa, Roberto puso su balón de fútbol sobre la mesa.","Als er heute Nachmittag nach Hause kam, hat Bobby seinen Fußball auf den Tisch gelegt.",,,,,,"Esta tarde, quando ele chegou em casa, Bobby colocou sua bola de futebol em cima da mesa."
ToM-scene14-instruct2,"theory-of-mind, Stories","And then he went outside to play, see? Here’s Bobby playing outside. And while he was outside playing, Bobby’s soccer ball fell off the table and onto the floor.","Y luego salió a jugar, ¿ves? Aquí está Roberto jugando fuera. Y mientras estaba fuera jugando, el balón de fútbol de Roberto se cayó de la mesa y al suelo.","Und dann ging er nach draußen, um zu spielen, siehst du? Hier ist Bobby beim Spielen im Freien. Und während er draußen spielte, fiel Bobbys Fußball vom Tisch auf den Boden.",,,,,,"E depois ele foi brincar lá fora, está vendo? Aqui está Bobby brincando lá fora. E enquanto estava brincando lá fora, a bola de futebol de Bobby caiu da mesa e foi para o chão."
ToM-scene14-instruct3,"theory-of-mind, Stories","Then Bobby’s sister Anna comes in. Anna also has a soccer ball! Anna puts her soccer ball on the table. Bobby is still outside playing, so he didn’t see what Anna was doing.","Entonces entra Anna, la hermana de Roberto. Anna también tiene un balón de fútbol. Anna pone su balón en la mesa. Roberto todavía está afuera jugando, así que no ve lo que hace Anna.","Dann kommt Bobbys Schwester Anna herein. Anna hat auch einen Fußball! Anna legt ihren Fußball auf den Tisch. Bobby ist immer noch draußen und spielt, deshalb hat er nicht gesehen, was Anna gemacht hat.",,,,,,"Então a irmã de Bobby, Anna, entra. Anna também tem uma bola de futebol! Anna coloca sua bola de futebol na mesa. Bobby ainda está brincando lá fora, então ele não viu o que Anna estava fazendo."
ToM-scene14-q1-false_belief,"theory-of-mind, Stories","Now, when Bobby comes in from outside, where will he look first for his soccer ball?","Ahora, cuando Roberto vuelva de entrar, ¿dónde buscará primero su balón de fútbol?","Wenn Bobby jetzt von draußen reinkommt, wo wird er zuerst nach seinem Fußball suchen?",,,,,,"Agora, quando Bobby entrar de fora, onde ele procurará primeiro sua bola de futebol?"
table,"theory-of-mind, Stories",On the table,En la mesa,Auf dem Tisch,,,,,,Na mesa
floor,"theory-of-mind, Stories",On the floor,En el suelo,Auf dem Boden,,,,,,No chão
ToM-scene-14-instruct4,"theory-of-mind, Stories","Let’s see what he does. Oh look, here is Bobby reaching for the soccer ball on the table. And now Anna sees Bobby reaching for that soccer ball... the soccer ball that is Anna's!","Veamos lo que hace. Oh, mira, aquí está Roberto cogiendo el balón de fútbol que está en la mesa. Y ahora Anna ve a Roberto buscando el balón... ¡el balón que es de Anna!","Schauen wir mal, was er macht. Oh, sieh mal, hier ist Bobby, der nach dem Fußball auf dem Tisch greift. Und jetzt sieht Anna, wie Bobby nach dem Fußball greift ... dem Fußball, der Anna gehört!",,,,,,"Vamos ver o que ele faz. Olhem, aqui está o Bobby pegando a bola de futebol na mesa. E agora a Anna vê o Bobby pegando aquela bola de futebol... a bola de futebol que é da Anna!"
ToM-scene-14-q2-emotion_reasoning,"theory-of-mind, Stories",How do you think Anna feels about Bobby reaching for that soccer ball?,¿Cómo crees que se siente Anna cuando Roberto coge ese balón?,"Was denkst du, wie Anna sich fühlt, wenn Bobby nach dem Fußball greift?",,,,,,Como você acha que Anna se sente sobre Bobby pegando aquela bola de futebol?
ToM-scene-14-q3-emotion_reasoning,"theory-of-mind, Stories",How do you think Anna would feel if she had not seen Bobby reaching for the soccer ball?,¿Cómo crees que se sentiría Anna si no hubiera visto a Roberto intentando coger el balón?,"Was denkst du, wie Anna sich fühlen würde, wenn sie nicht gesehen hätte, wie Bobby nach dem Fußball gegriffen hat?",,,,,,Como você acha que Anna se sentiria se ela não tivesse visto Bobby pegar a bola de futebol?
ToM-scene-14-q4-false_belief,"theory-of-mind, Stories",Is Bobby being mean and naughty for taking Anna’s soccer ball?,¿Roberto está siendo necio y travieso por coger el balón de fútbol de Anna?,"Ist Bobby gemein und frech, weil er Annas Fußball genommen hat?",,,,,,O Bobby está sendo mau e travesso por pegar a bola de futebol de Anna?
ToM-scene-14-q5-false_belief,"theory-of-mind, Stories",Should Bobby get in trouble with their mom for taking Anna’s soccer ball?,¿Debería Roberto estar en problemas con su madre por coger el balón de fútbol de Anna?,"Sollte Bobby Ärger mit seiner Mutter bekommen, weil er Annas Fußball genommen hat?",,,,,,O Bobby deve ter problemas com a mãe deles por pegar a bola de futebol de Anna?
ToM-scene-14-q6-reality_check,"theory-of-mind, Stories",Can you help Anna find her soccer ball? Is it on the table or on the floor?,¿Puedes ayudarle a Anna a encontrar su balón de fútbol? ¿Está sobre la mesa o en el suelo?,"Kannst du Anna helfen, ihren Fußball zu finden? Liegt er auf dem Tisch oder auf dem Boden?",,,,,,Você pode ajudar a Anna a encontrar sua bola de futebol? Está na mesa ou no chão?
ToM-scene-14-q7-reality_check,"theory-of-mind, Stories",Can you help Bobby find his soccer ball? Is it on the table or on the floor?,¿Puedes ayudarle a Roberto a encontrar su balón de fútbol? ¿Está sobre la mesa o en el suelo?,"Kannst du Bobby helfen, seinen Fußball zu finden? Liegt er auf dem Tisch oder auf dem Boden?",,,,,,Você pode ajudar o Bobby a encontrar sua bola de futebol? Está na mesa ou no chão?
ToM-scene-15-instruct1,"theory-of-mind, Stories","Alex, Beth, and Johnny are playing a game at the park. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Alex, Isabel y John están jugando un juego en el parque. En este juego uno de los niños se esconde, pero antes de esconderse, debe dibujar una pista en la arenera para que los otros puedan encontrarle.","Robin, Sina und Tobias spielen ein Spiel im Park. Das Spiel läuft folgendermaßen ab: Ein Kind versteckt sich, malt aber einen Hinweis in den Sandkasten, damit die anderen Kinder es finden können.",,,,,,"Alex, Beth e Johnny estão jogando no parque. Assim é o jogo: uma criança se esconde, mas desenha uma pista na caixa de areia para que as outras crianças possam encontrá-la."
ToM-scene-15-instruct2,"theory-of-mind, Stories","Johnny decides to hide behind the flower bush. He draws a clue in the sand. Johnny means to draw the flower bush, but the drawing looks like a rock instead! Then Johnny goes to hide behind the flower bush.","John decide esconderse detrás de una planta con flores. Él dibuja una pista en la arena. Pero aunque John quiere dibujar la planta con flores, ¡su dibujo parece una roca! Al terminar su dibujo, John se va a esconder detrás de la planta con flores.","Tobias beschließt, sich hinter den Blumensträuchern zu verstecken. Er malt einen Hinweis in den Sand. Tobias will den Strauch zeichnen, aber die Zeichnung sieht stattdessen wie ein Stein aus! Dann versteckt sich Tobias hinter den Blumensträuchern.",,,,,,"Johnny decide se esconder atrás do arbusto de flores. Ele desenha uma pista na areia. Johnny pretendia desenhar o arbusto de flores, mas o desenho parece uma rocha! Então Johnny vai se esconder atrás do arbusto de flores."
ToM-scene-15-q1-reality_check,"theory-of-mind, Stories",What did Johnny mean to draw?,¿Qué quería dibujar John?,Was wollte Tobias zeichnen?,,,,,,O que Johnny pretendia desenhar?
flowerbush,"theory-of-mind, Stories",A flower bush,Una planta con flores,Einen Blumenstrauch,,,,,,Um arbusto de flores
rocks,"theory-of-mind, Stories",A rock,Una roca,Einen Felsen,,,,,,Uma rocha
ToM-scene-15-q2-false_belief,"theory-of-mind, Stories","When Alex and Beth see this clue, where will they look first for Johnny? Behind the flower bush or behind the rock?","Cuando Alex e Isabel vean esta pista, ¿dónde buscarán primero a John? ¿Detrás de la planta con flores o detrás de la roca?","Wenn Robin und Sina diesen Hinweis sehen, wo werden sie zuerst nach Tobias suchen? Hinter dem Blumenstrauch oder hinter dem Felsen?",,,,,,"Quando Alex e Beth virem esta pista, onde eles procurarão primeiro por Johnny? Atrás do arbusto de flores ou atrás da rocha?"
ToM-scene-15-q3-reality_check,"theory-of-mind, Stories",Can you help them find where Johnny really is?,¿Puedes ayudarles a encontrar dónde se esconde John realmente?,"Kannst du ihnen helfen, herauszufinden, wo Tobias wirklich ist?",,,,,,Você pode ajudá-los a encontrar onde Johnny realmente está?
behind-flowerbush,"theory-of-mind, Stories",Behind the flower bush,Detrás de la planta con flores,Hinter dem Blumenstrauch,,,,,,Atrás do arbusto de flores
behind-rock,"theory-of-mind, Stories",Behind the rock,Detrás de la roca,Hinter dem Felsen,,,,,,Atrás da rocha
ToM-scene-15-q4-emotion_reasoning,"theory-of-mind, Stories","Look, Alex and Beth found Johnny, and won the game! How do you think Alex and Beth feel about winning the game?","Mira, Alex e Isabel encontraron a John y ganaron el juego. ¿Cómo crees que se sienten Alex e Isabel por ganar el juego?","Schau, Robin und Sina haben Tobias gefunden und das Spiel gewonnen! Was denkst du, wie Robin und Sina sich fühlen, weil sie das Spiel gewonnen haben?",,,,,,"Olhem, Alex e Beth encontraram Johnny e ganharam o jogo! Como você acha que Alex e Beth se sentem por ganhar o jogo?"
ToM-scene-16-instruct1,"theory-of-mind, Stories",Dad tells James and Sophie to get ready for school. Dad tells them to put on their shoes.,El papá les dice a Jaime y a Sofía que se preparen para ir al colegio. El papá les dice que se pongan los zapatos.,"Papa sagt Jakob und Sophie, sie sollen sich für die Schule fertig machen. Papa sagt ihnen, dass sie ihre Schuhe anziehen sollen.",,,,,,O papai diz a James e Sophie para se prepararem para a escola. O papai lhes diz para colocarem os sapatos.
ToM-scene-16-instruct2,"theory-of-mind, Stories",Sophie can’t find one of her shoes! She’s looking everywhere but she can't find it.,"Sofía no encuentra uno de sus zapatos. Lo está buscando por todas partes, pero no lo encuentra.","Sophie kann einen ihrer Schuhe nicht finden! Sie sucht überall, aber sie kann ihn nicht finden.",,,,,,"Sophie não consegue encontrar um dos sapatos! Ela olha em todo lugar, mas não consegue achar."
ToM-scene-16-q1-emotion_reasoning,"theory-of-mind, Stories",How does Sophie feel about losing her shoe? ,¿Cómo se siente Sofía por perder su zapato?,"Wie fühlt sich Sophie, weil sie ihren Schuh verloren hat?",,,,,,Como Sophie se sente por perder o sapato? 
ToM-scene-16-q2-emotion_reasoning,"theory-of-mind, Stories",How would Sophie feel if she found her shoe?,¿Cómo se sentiría Sofía si encontrara su zapato?,"Wie würde sich Sophie fühlen, wenn sie ihren Schuh finden würde?",,,,,,Como Sophie se sentiria se encontrasse o sapato?
ToM-scene-16-instruct3,"theory-of-mind, Stories","Sophie can't find her shoe because earlier in the day, when no one was looking, James played a trick on Sophie and hid her shoe in the toy box.","Sofía no encuentra su zapato porque Jaime, por hacerle una broma, se lo escondió en la caja de juguetes hace un rato cuando nadie estaba mirando.","Sophie kann ihren Schuh nicht finden, denn früher am Tag, als niemand hinsah, hat Jakob Sophie einen Streich gespielt und ihren Schuh in der Spielzeugkiste versteckt.",,,,,,"Sophie não consegue encontrar seu sapato porque mais cedo, quando ninguém estava olhando, James pregou uma peça em Sophie e escondeu seu sapato na caixa de brinquedos."
ToM-scene-16-instruct4,"theory-of-mind, Stories","So Sophie looks everywhere and she can’t find her shoe. Dad gets mad at Sophie, because she lost her shoe and now they are late for school.","Entonces Sofía está buscando su zapato por todas partes, pero no lo encuentra. Ahora el papá se ha enfadado con Sofía porque perdió su zapato y van tarde para el colegio.","Sophie sucht also überall, aber sie kann ihren Schuh nicht finden. Papa wird wütend auf Sophie, weil sie ihren Schuh verloren hat und sie nun zu spät zur Schule kommen.",,,,,,"Então Sophie procura em todo lugar e não consegue encontrar seu sapato. O papai fica bravo com a Sophie, pois ela perdeu o sapato e agora estão atrasados para a escola."
ToM-scene-16-q3-false_belief,"theory-of-mind, Stories",Is it fair that Dad is mad at Sophie for losing her shoe?,¿Es justo que papá se enfade con Sofía por haber perdido su zapato?,"Ist es fair, dass Papa sauer auf Sophie ist, weil sie ihren Schuh verloren hat?",,,,,,É justo que o papai fique bravo com Sophie por perder o sapato?
ToM-scene-16-q4-reference,"theory-of-mind, Stories",Is Dad mad at James?,¿Está el papá enfadado con Jaime?,Ist Papa böse auf Jakob?,,,,,,O papai está bravo com James?
ToM-scene-16-q5-reference,"theory-of-mind, Stories",Is Sophie mad at James?,¿Está Sofía enfadada con Jaime?,Ist Sophie böse auf Jakob?,,,,,,Sophie está brava com James?
ToM-scene-16-instruct5,"theory-of-mind, Stories","When James sees that Dad is mad at Sophie, he goes to the toy box and gets the shoe, and gives it back to Sophie.","Cuando Jaime ve que papá está enfadado con Sofía, va a la caja de juguetes, coge el zapato y se lo devuelve a Sofía.","Als Jakob sieht, dass Papa sauer auf Sophie ist, geht er zur Spielzeugkiste, holt den Schuh und gibt ihn Sophie zurück.",,,,,,"Quando James vê que o papai está bravo com Sophie, ele vai até a caixa de brinquedos, pega o sapato e devolve à Sophie."
ToM-scene-16-q6-reference,"theory-of-mind, Stories",Is Dad mad at Sophie now?,¿Está el papá enfadado con Sofía ahora?,Ist Papa jetzt sauer auf Sophie?,,,,,,O papai está bravo com Sophie agora?
ToM-scene-16-q7-reference,"theory-of-mind, Stories",Is Dad mad at James now?,¿Está el papá enfadado con Jaime ahora?,Ist Papa jetzt sauer auf Jakob?,,,,,,O papai está bravo com James agora?
ToM-scene-16-q8-reference,"theory-of-mind, Stories",Is Sophie mad at James now?,¿Está Sofía enfadada con Jaime ahora?,Ist Sophie jetzt sauer auf Jakob?,,,,,,Sophie está brava com James agora?
ToM-scene-16-instruct6,"theory-of-mind, Stories","James tells Sophie that he’s very sorry, and Sophie and Dad forgive James. They all hug.","Jaime le pide perdón a Sofía, y Sofía y el papá perdonan a Jaime. Todos se abrazan.","Jakob sagt Sophie, dass es ihm sehr leid tut, und Sophie und Papa nehmen die Entschuldigung an. Sie umarmen sich alle.",,,,,,"James diz a Sophie que está muito arrependido, e Sophie e o papai perdoam James. Todos se abraçam."
ToM-scene-17-instruct1,"theory-of-mind, Stories","This is Mika. Mika’s mom owns a bookshop, and sometimes Mika helps out. Earlier today, Mika was organizing books on tables and shelves. Mika put a very large stack of blue books on the desk, a medium-sized stack of red books on the table, and a small stack of yellow books on the shelf.","Esta es Melisa. La madre de Melisa tiene una librería y Melisa a veces la ayuda. Hace un rato, Melisa estaba organizando unos libros en las mesas y biblioteca. Melisa puso una torre muy grande de libros azules en el escritorio, una torre mediana de libros rojos en la mesa y una torre pequeña de libros amarillos en la biblioteca.","Das ist Mika. Mikas Mutter hat eine Buchhandlung, und manchmal hilft Mika dort mit. Heute hat Mika die Bücher auf Tischen und Regalen sortiert. Mika hat einen sehr großen Stapel blauer Bücher auf den Schreibtisch gelegt, einen mittelgroßen Stapel roter Bücher auf den Tisch und einen kleinen Stapel gelber Bücher ins Regal.",,,,,,"Este é Mika. A mãe de Mika é dona de uma livraria, e às vezes Mika ajuda. Mais cedo hoje, Mika estava organizando livros em mesas e prateleiras. Mika colocou uma pilha muito grande de livros azuis na mesa, uma pilha de tamanho médio de livros vermelhos na mesa, e uma pequena pilha de livros amarelos na prateleira."
ToM-scene-17-instruct2,"theory-of-mind, Stories","Mika’s mom just walked in. Mom asks Mika for one of the books. Mika remembers where the book is, and tells mom, “The book is in the small stack!”","La madre de Melisa acaba de entrar. La madre le pide a Melisa uno de los libros. Melisa recuerda dónde está ese libro y le dice a su mamá: ""¡El libro está en la torre pequeña!"".","Mikas Mutter kommt gerade herein. Mama fragt Mika nach einem der Bücher. Mika erinnert sich, wo das Buch ist, und sagt zu Mama: „Das Buch ist in dem kleinen Stapel!“",,,,,,A mãe de Mika acabou de entrar. A mãe pede a Mika um dos livros. Mika se lembra onde o livro está e diz à mãe: “O livro está na pilha pequena!”
ToM-scene-17-q1-reference,"theory-of-mind, Stories",Which stack of books will mom look in?,¿En cual torre de libros va a buscar la mamá?,In welchem Bücherstapel wird Mama nachsehen?,,,,,,Em qual pilha de livros a mãe vai procurar?
ToM-scene-17-q2-reality_check,"theory-of-mind, Stories",Which stack of books was Mika talking about?,¿A cuál torre de libros se refería Melisa?,Welchen Bücherstapel hat Mika gemeint?,,,,,,Sobre qual pilha de livros Mika estava falando?
bluestack,"theory-of-mind, Stories",The large blue stack,La torre azul grande,Den großen blauen Stapel,,,,,,A grande pilha azul
redstack,"theory-of-mind, Stories",The medium sized red stack,La torre roja mediana,Den mittelgroßen roten Stapel,,,,,,A pilha vermelha de tamanho médio
yellowstack,"theory-of-mind, Stories",The small yellow stack,La torre amarilla pequeña,Den kleinen gelben Stapel,,,,,,A pequena pilha amarela
ToM-scene-17-q3-emotion_reasoning,"theory-of-mind, Stories",Mom looks in the wrong stack of books and can’t find the book that she wanted. How do you think Mom feels about not finding the book she wanted?,La mamá busca en la torre de libros equivocada y no encuentra el libro que quería. ¿Cómo crees que se siente la mamá al no encontrar el libro que quería?,"Mama schaut in den falschen Stapel und findet das Buch nicht, das sie gesucht hat. Was glaubst du, wie Mama sich fühlt, wenn sie das gewünschte Buch nicht findet?",,,,,,A mãe olha na pilha errada de livros e não consegue encontrar o livro que queria. Como você acha que a mãe se sente por não encontrar o livro que queria?
ToM-scene-17-q4-emotion_reasoning,"theory-of-mind, Stories",How do you think Mom would feel if she could find the book she wanted?,¿Cómo crees que se sentiría la mamá si pudiera encontrar el libro que quería?,"Was glaubst du, wie sie sich fühlen würde, wenn sie das Buch finden würde, das sie sucht?",,,,,,Como você acha que a mãe se sentiria se pudesse encontrar o livro que queria?
ToM-scene-18-instruct1,"theory-of-mind, Stories","George and Kat are playing together. They look outside and see a new toy shop across the street. Kat decides to go buy some new toys at the toy shop. Kat asks George what toy he would like to have, and George says he would like a new basketball.",Jorge y Catalina están jugando juntos. Miran fuera y ven una juguetería nueva al otro lado de la calle. Catalina decide ir a comprar juguetes a la juguetería. Catalina le pregunta a Jorge cuál juguete le gustaría tener y Jorge dice que le gustaría un balón de baloncesto nuevo.,"Georg und Theresa spielen zusammen. Sie schauen nach draußen und sehen auf der anderen Straßenseite ein neues Spielzeuggeschäft. Theresa beschließt, ein paar neue Spielsachen in dem Geschäft zu kaufen. Theresa fragt Georg, welches Spielzeug er gerne hätte, und Georg sagt, er hätte gerne einen neuen Basketball.",,,,,,"George e Kat estão brincando juntos. Eles olham para fora e veem uma nova loja de brinquedos do outro lado da rua. Kat decide comprar alguns brinquedos novos na loja de brinquedos. Kat pergunta a George qual brinquedo ele gostaria de ter, e George diz que gostaria de uma bola de basquete nova."
ToM-scene-18-instruct2,"theory-of-mind, Stories","While Kat is walking to the toy shop, George changes his mind and yells to Kat, “Actually, can I please have some crayons?” But Kat did not hear George ask for crayons.","Mientras Catalina caminaba a la juguetería, Jorge cambió de opinión y le gritó a Catalina: ""En realidad, ¿me compras unos colores, por favor?"". Pero Catalina no escuchó a Jorge pedir los colores.","Während Theresa zum Spielzeugladen geht, ändert Georg seine Meinung und ruft Theresa zu: „Kann ich bitte ein paar Buntstifte haben?“ Aber Theresa hat nicht gehört, wie Georg nach Buntstiften gefragt hat.",,,,,,"Enquanto Kat está indo para a loja de brinquedos, George muda de ideia e grita para Kat: “Na verdade, posso ter alguns lápis de cor?” Mas Kat não ouviu George pedir pelos lápis de cor."
ToM-scene-18-q1-false_belief,"theory-of-mind, Stories",Which toy does Kat think George wants from the toy shop?,¿Cuál juguete cree Catalina que Jorge quiere de la juguetería?,"Welches Spielzeug, glaubt Theresa, möchte Georg aus dem Spielzeugladen haben?",,,,,,Qual brinquedo Kat acha que George quer da loja de brinquedos?
ToM-scene-18-instruct3,"theory-of-mind, Stories","Kat didn’t hear George say that he wanted crayons. So Kat thinks George wants a basketball. Kat goes to the toy shop, but then the shop owner says that they don’t have any basketballs! But they do have storybooks, so Kat buys a storybook for George instead.","Catalina no escuchó a Jorge decir que quería unos colores, así que Catalina piensa que Jorge quiere un balón de baloncesto. Catalina va a la juguetería, pero el dueño le dice aunque no tienen balones de baloncesto, sí tienen libros de cuentos. Catalina le compra un libro de cuentos a Jorge.","Theresa hat Georg nicht sagen hören, dass er Buntstifte haben möchte. Deshalb glaubt Theresa, dass Georg sich einen Basketball wünscht. Theresa geht in den Spielzeugladen, aber der Ladenbesitzer sagt, dass sie keine Basketbälle haben! Aber sie haben Märchenbücher, also kauft Theresa stattdessen ein Märchenbuch für Georg.",,,,,,"Kat não ouviu George dizer que queria lápis de cor. Então Kat acha que George quer uma bola de basquete. Kat vai até a loja de brinquedos, mas o dono da loja diz que eles não têm bolas de basquete! Mas eles têm livros de histórias, então Kat compra um livro de histórias para George."
ToM-scene-18-q2-false_belief,"theory-of-mind, Stories",Does George know that Kat bought a storybook?,¿Jorge sabe que Catalina compró un libro de cuentos?,"Weiß Georg, dass Theresa ein Märchenbuch gekauft hat?",,,,,,George sabe que Kat comprou um livro de histórias?
ToM-scene-18-q3-false_belief,"theory-of-mind, Stories",What does George think Kat bought at the toy shop?,¿Qué cree Jorge que Catalina compró en la juguetería?,"Was glaubt Georg, was Theresa im Spielzeugladen gekauft hat?",,,,,,O que George acha que Kat comprou na loja de brinquedos?
basketball,"theory-of-mind, Stories",A basketball,Un balón de baloncesto,Einen Basketball,,,,,,Uma bola de basquete
storybook,"theory-of-mind, Stories",A storybook,Un libro de cuentos,Ein Bilderbuch,,,,,,Um livro de histórias
crayons,"theory-of-mind, Stories",Crayons,Unos colores,Buntstifte,,,,,,Lápis de cor
ToM-scene-18-instruct4,"theory-of-mind, Stories","Kat comes back and tells George, “I’m so sorry, I couldn’t buy you a basketball because the store didn’t have any.”","Catalina vuelve y le dice a Jorge: ""Lo siento mucho, no pude comprarte un balón de baloncesto porque no los vendían en la tienda"".","Theresa kommt zurück und sagt zu Georg: „Es tut mir so leid, ich konnte dir keinen Basketball kaufen, weil der Laden keinen hatte.“",,,,,,"Kat volta e diz a George: “Sinto muito, não consegui comprar uma bola de basquete para você porque a loja não tinha nenhuma.”"
ToM-scene-18-q4-reality_check,"theory-of-mind, Stories",What toy does George want?,¿Cuál juguete quiere Jorge?,Welches Spielzeug wünscht sich Georg?,,,,,,Qual brinquedo George quer?
ToM-scene-18-q5-reality_check,"theory-of-mind, Stories",What toy did Kat buy for George?,¿Cuál juguete le compró Catalina a Jorge?,Welches Spielzeug hat Theresa für Georg gekauft?,,,,,,Qual brinquedo Kat comprou para George?
ToM-scene-18-instruct5,"theory-of-mind, Stories",George is very happy to play with his new storybook.,Jorge está emocionado por leer su nuevo libro de cuentos.,"Georg ist sehr glücklich, dass er ein neues Bilderbuch hat.",,,,,,George está muito feliz por brincar com seu novo livro de histórias.
inferenceInstructions2,roar-inference,Welcome to ROAR - Inference,Bienvenido a ROAR - Inferencia,Willkommen bei ROAR - Schlussfolgerung,,,,,,Bem-vindo à ROAR - Inferência
inferenceInstructions,roar-inference,Read each story carefully. Think about what happened in the story and what you know. Choose the best answer for each question.,Lee cada historia con atención. Piensa en lo que ocurrió en la historia y en lo que sabes. Elige la mejor respuesta para cada pregunta.,"Lesen Sie jede Geschichte sorgfältig. Denken Sie darüber nach, was in der Geschichte passiert ist und was Sie wissen. Wählen Sie die beste Antwort zu jeder Frage.",,,,,,Leia cada história com cuidado. Pense sobre o que aconteceu na história e o que você sabe. Escolha a melhor resposta para cada pergunta.
sds-your-turn,"same-different-selection, Same & Different",Now it's your turn!,¡Ahora es tu turno!,Jetzt bist du dran!,,,,,,Agora é a sua vez!
sds-prompt3-demo-heavy,"same-different-selection, Same & Different",Here is another picture. I have to choose which of these pictures is the same as this new picture.,Aquí hay otra imagen. Tengo que elegir cuál de estas imágenes es igual a esta nueva imagen.,"Hier ist ein weiteres Bild. Ich muss auswählen, welches dieser Bilder mit diesem neuen Bild übereinstimmt.",,,,,,Aqui está outra imagem. Eu tenho que escolher qual dessas imagens é igual a esta nova imagem.
sds-pick-square-demo-heavy,"same-different-selection, Same & Different",I will pick this one! This one is the same as the new picture because they are both squares.,¡Escogeré esta! Esta es igual a la nueva imagen porque ambas son cuadrados.,"Ich wähle dieses! Dieses ist gleich dem neuen Bild, weil sie beide Quadrate sind.",,,,,,Vou escolher esta! Esta é igual à nova imagem porque ambas são quadrados.
same-different-selection-instruct1-heavy,"same-different-selection, Same & Different","This is the matching game. In this game, we are going to look at pictures and find things about them that are the same in some way.","Este es el juego de emparejar. En este juego, vamos a mirar imágenes y encontrar cosas que sean iguales de alguna manera.","Das ist das Zuordnungsspiel. In diesem Spiel werden wir uns Bilder anschauen und Dinge finden, die auf irgendeine Weise gleich sind.",,,,,,"Este é o jogo de combinação. Neste jogo, vamos olhar para as figuras e encontrar coisas sobre elas que são de alguma forma iguais."
same-different-selection-instruct2-heavy,"same-different-selection, Same & Different",Now we're going to look at more pictures and find things about them that are the same. Let's learn how to play!,Ahora vamos a ver más imágenes y encontrar cosas que sean iguales. ¡Vamos a aprender a jugar!,"Jetzt schauen wir uns mehr Bilder an und finden Dinge heraus, die gleich sind. Lass uns lernen, wie man spielt!",,,,,,Agora vamos olhar mais imagens e encontrar coisas sobre elas que são iguais. Vamos aprender a jogar!
same-different-selection-instruct3-heavy,"same-different-selection, Same & Different",Now you're going to play the rest of the game on your own!,¡Ahora vas a jugar el resto del juego por tu cuenta!,Jetzt wirst du den Rest des Spiels alleine spielen!,,,,,,Agora você vai jogar o resto do jogo sozinho!
same-different-selection-instruct4-heavy,"same-different-selection, Same & Different",Now we're going to try something new! You're going to find pairs of shapes that are the same in some way. Let's learn how!,¡Ahora vamos a intentar algo nuevo! Vas a encontrar pares de formas que sean iguales de alguna manera. ¡Vamos a aprender cómo!,"Jetzt werden wir etwas Neues ausprobieren! Du wirst Paare von Formen finden, die auf irgendeine Weise gleich sind. Lass uns lernen, wie das geht!",,,,,,Agora vamos tentar algo novo! Você vai encontrar pares de formas que são iguais de alguma forma. Vamos aprender como!
same-different-selection-instruct5-heavy,"same-different-selection, Same & Different",Here are three pictures. I have to choose 2 of them that are the same in some way. I will pick these 2 pictures because they are both triangles.,Aquí hay tres imágenes. Tengo que elegir 2 de ellas que sean iguales de alguna manera. Voy a escoger estas 2 imágenes porque ambas son triángulos.,"Hier sind drei Bilder. Ich muss zwei davon auswählen, die auf irgendeine Weise gleich sind. Ich wähle diese beiden Bilder, weil sie beide Dreiecke sind.",,,,,,Aqui estão três imagens. Eu tenho que escolher 2 delas que são iguais de alguma forma. Vou escolher essas 2 imagens porque ambas são triângulos.
same-different-selection-instruct6-heavy,"same-different-selection, Same & Different",Here are the same three pictures. I have to choose 2 of them that are the same in a different way. I will pick these 2 pictures because they are both red.,Aquí están las mismas tres imágenes. Tengo que elegir 2 de ellas que sean iguales de otra manera. Voy a escoger estas 2 imágenes porque ambas son rojas.,"Hier sind dieselben drei Bilder. Ich muss zwei davon auswählen, die auf eine andere Weise gleich sind. Ich wähle diese beiden Bilder, weil sie beide rot sind.",,,,,,Aqui estão as mesmas três imagens. Eu tenho que escolher 2 delas que são iguais de uma forma diferente. Vou escolher essas 2 imagens porque ambas são vermelhas.
same-different-selection-touch-circle-heavy,"same-different-selection, Same & Different",Show me the circle.,Muéstrame el círculo.,Zeige mir den Kreis.,,,,,,Mostre-me o círculo.
same-different-selection-touch-square-heavy,"same-different-selection, Same & Different",Show me the square.,Muéstrame el cuadrado.,Zeige mir das Quadrat.,,,,,,Mostre-me o quadrado.
