identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,isHidden
ToM-scene-12-instruct2,"theory-of-mind, Stories","Then Emma went to her room to get ready for school. While she was getting ready, she changed her mind, so she yelled to her dad, “Actually, may I please have my red ball instead?” and kept getting ready for school. But Dad did not hear Emma ask for her red ball.","Después, Emma se fue a su habitación a prepararse para ir al colegio. Mientras se preparaba, cambió de opinión y le gritó a su papá: ""En realidad, ¿podría mejor llevar mi pelota roja, por favor?"" y siguió preparándose para ir al colegio. Pero Papá no oyó a Emma pedir su pelota roja.","Dann ging Emma in ihr Zimmer, um sich für die Schule fertig zu machen. Während sie sich fertig machte, änderte sie ihre Meinung und rief ihrem Vater zu: „Darf ich stattdessen meinen roten Ball haben?“ und machte sich weiter fertig für die Schule. Aber Papa hörte nicht, wie Emma nach ihrem roten Ball fragte.","Then Emma went to her room to get ready for school. While she was getting ready, she changed her mind, so she yelled to her dad, “Actually, may I please have my red ball instead?” and kept getting ready for school. But Dad did not hear Emma ask for her red ball.","Then Emma went to her room to get ready for school. While she was getting ready, she changed her mind, so she yelled to her dad, “Actually, may I please have my red ball instead?” and kept getting ready for school. But Dad did not hear Emma ask for her red ball.","Dann ging Emma in ihr Zimmer, um sich für die Schule fertig zu machen. Während sie sich fertig machte, änderte sie ihre Meinung und rief ihrem Vater zu: „Darf ich stattdessen meinen roten Ball haben?“ und machte sich weiter fertig für die Schule. Aber Papa hörte nicht, wie Emma nach ihrem roten Ball fragte.","Then Emma went to her room to get ready for school. While she was getting ready, she changed her mind, so she yelled to her dad, “Actually, may I please have my red ball instead?” and kept getting ready for school. But Dad did not hear Emma ask for her red ball.","Then Emma went to her room to get ready for school. While she was getting ready, she changed her mind, so she yelled to her dad, “Actually, may I please have my red ball instead?” and kept getting ready for school. But Dad did not hear Emma ask for her red ball.",
ToM-scene-12-q1-false_belief,"theory-of-mind, Stories",Which toy does Dad think Emma wants to bring to school?,¿Cuál juguete cree el papá que Emma quiere llevar a la escuela?,"Was glaubt Papa, welches Spielzeug Emma mit in die Schule nehmen möchte?",Which toy does Dad think Emma wants to bring to school?,Which toy does Dad think Emma wants to bring to school?,"Was glaubt Papa, welches Spielzeug Emma mit in die Schule nehmen möchte?",Which toy does Dad think Emma wants to bring to school?,Which toy does Dad think Emma wants to bring to school?,
ToM-scene-12-instruct3,"theory-of-mind, Stories","Dad didn’t hear Emma say she wants her red ball. So dad thinks Emma wants her yellow ball. Dad goes to pack Emma’s bag, but can’t find her yellow ball in the toy box! But dad finds a blue ball in the toy box, so he packs the blue ball for Emma instead.","El papá no oyó a Emma decir que quería su pelota roja. Así que el papá piensa que Emma quiere su pelota amarilla. El papá va a preparar la mochila de Emma, ¡pero no encuentra su pelota amarilla en la caja de juguetes! Pero papá el encuentra la pelota azul en la caja de juguetes, así que empaca la pelota azul en la maleta de Emma.","Papa hat Emma nicht sagen hören, dass sie ihren roten Ball haben möchte. Deshalb denkt Papa, dass Emma ihren gelben Ball haben möchte. Papa geht los, um Emmas Tasche zu packen, kann aber ihren gelben Ball in der Spielzeugkiste nicht finden! Aber Papa findet einen blauen Ball in der Spielzeugkiste, also packt er stattdessen den blauen Ball für Emma ein.","Dad didn’t hear Emma say she wants her red ball. So dad thinks Emma wants her yellow ball. Dad goes to pack Emma’s bag, but can’t find her yellow ball in the toy box! But dad finds a blue ball in the toy box, so he packs the blue ball for Emma instead.","Dad didn’t hear Emma say she wants her red ball. So dad thinks Emma wants her yellow ball. Dad goes to pack Emma’s bag, but can’t find her yellow ball in the toy box! But dad finds a blue ball in the toy box, so he packs the blue ball for Emma instead.","Papa hat Emma nicht sagen hören, dass sie ihren roten Ball haben möchte. Deshalb denkt Papa, dass Emma ihren gelben Ball haben möchte. Papa geht los, um Emmas Tasche zu packen, kann aber ihren gelben Ball in der Spielzeugkiste nicht finden! Aber Papa findet einen blauen Ball in der Spielzeugkiste, also packt er stattdessen den blauen Ball für Emma ein.","Dad didn’t hear Emma say she wants her red ball. So dad thinks Emma wants her yellow ball. Dad goes to pack Emma’s bag, but can’t find her yellow ball in the toy box! But dad finds a blue ball in the toy box, so he packs the blue ball for Emma instead.","Dad didn’t hear Emma say she wants her red ball. So dad thinks Emma wants her yellow ball. Dad goes to pack Emma’s bag, but can’t find her yellow ball in the toy box! But dad finds a blue ball in the toy box, so he packs the blue ball for Emma instead.",
ToM-scene-12-q2-false_belief,"theory-of-mind, Stories",Does Emma know that Dad packed the blue ball?,¿Emma sabe que su papá empacó la pelota azul?,"Weiß Emma, dass Papa den blauen Ball eingepackt hat?",Does Emma know that Dad packed the blue ball?,Does Emma know that Dad packed the blue ball?,"Weiß Emma, dass Papa den blauen Ball eingepackt hat?",Does Emma know that Dad packed the blue ball?,Does Emma know that Dad packed the blue ball?,
ToM-scene-12-q3-false_belief,"theory-of-mind, Stories",Which ball does Emma think Dad packed?,¿Cuál pelota cree Emma que empacó su papá?,"Welchen Ball, glaubt Emma, hat Papa eingepackt?",Which ball does Emma think Dad packed?,Which ball does Emma think Dad packed?,"Welchen Ball, glaubt Emma, hat Papa eingepackt?",Which ball does Emma think Dad packed?,Which ball does Emma think Dad packed?,
yellowball,"theory-of-mind, Stories",The yellow ball,La pelota amarilla,Den gelben Ball,The yellow ball,The yellow ball,Den gelben Ball,The yellow ball,The yellow ball,
redball,"theory-of-mind, Stories",The red ball,La pelota roja,Den roten Ball,The red ball,The red ball,Den roten Ball,The red ball,The red ball,
blueball,"theory-of-mind, Stories",The blue ball,La pelota azul,Den blauen Ball,The blue ball,The blue ball,Den blauen Ball,The blue ball,The blue ball,
ToM-scene-12-instruct4,"theory-of-mind, Stories","On the way to school, Dad tells Emma, “I’m so sorry, I couldn’t pack the toy that you wanted because I couldn’t find it”.","De camino al colegio, el papá le dice a Emma ""Lo siento mucho, no pude empacar el juguete que querías porque no lo encontré"".","Auf dem Weg zur Schule sagt Papa zu Emma: „Es tut mir so leid, ich konnte das Spielzeug, das du dir gewünscht hast, nicht einpacken, weil ich es nicht finden konnte“.","On the way to school, Dad tells Emma, “I’m so sorry, I couldn’t pack the toy that you wanted because I couldn’t find it”.","On the way to school, Dad tells Emma, “I’m so sorry, I couldn’t pack the toy that you wanted because I couldn’t find it”.","Auf dem Weg zur Schule sagt Papa zu Emma: „Es tut mir so leid, ich konnte das Spielzeug, das du dir gewünscht hast, nicht einpacken, weil ich es nicht finden konnte“.","On the way to school, Dad tells Emma, “I’m so sorry, I couldn’t pack the toy that you wanted because I couldn’t find it”.","On the way to school, Dad tells Emma, “I’m so sorry, I couldn’t pack the toy that you wanted because I couldn’t find it”.",
ToM-scene-12-q4-reality_check,"theory-of-mind, Stories",What toy does Emma want?,¿Cuál juguete quiere Emma?,Welches Spielzeug wünscht sich Emma?,What toy does Emma want?,What toy does Emma want?,Welches Spielzeug wünscht sich Emma?,What toy does Emma want?,What toy does Emma want?,
ToM-scene-12-q5-reality_check,"theory-of-mind, Stories",What toy did Dad pack for Emma?,¿Cuál juguete le ha empacado el papá?,Welches Spielzeug hat Papa für Emma eingepackt?,What toy did Dad pack for Emma?,What toy did Dad pack for Emma?,Welches Spielzeug hat Papa für Emma eingepackt?,What toy did Dad pack for Emma?,What toy did Dad pack for Emma?,
ToM-scene-12-instruct5,"theory-of-mind, Stories",Emma is very happy to play with her ball.,Emma está muy feliz de jugar con su pelota.,"Emma ist sehr glücklich, mit ihrem Ball zu spielen.",Emma is very happy to play with her ball.,Emma is very happy to play with her ball.,"Emma ist sehr glücklich, mit ihrem Ball zu spielen.",Emma is very happy to play with her ball.,Emma is very happy to play with her ball.,
ToM-scene13-instruct1,"theory-of-mind, Stories","Here is Gabriel. This afternoon at school, Gabriel put his pencil in his pencil box.","Aquí está Gabriel. Esta tarde en el colegio, Gabriel guardó su lápiz en su cartuchera.",Das ist Gabriel. Heute Nachmittag in der Schule hat Gabriel seinen Bleistift in seine Federtasche gelegt.,"Here is Gabriel. This afternoon at school, Gabriel put his pencil in his pencil box.","Here is Gabriel. This afternoon at school, Gabriel put his pencil in his pencil box.",Das ist Gabriel. Heute Nachmittag in der Schule hat Gabriel seinen Bleistift in seine Federtasche gelegt.,"Here is Gabriel. This afternoon at school, Gabriel put his pencil in his pencil box.","Here is Gabriel. This afternoon at school, Gabriel put his pencil in his pencil box.",
ToM-scene13-instruct2,"theory-of-mind, Stories","But while Gabriel was outside, someone used his pencil! After using Gabriel’s pencil, the person put the pencil in a basket.","Pero mientras Gabriel estaba fuera, ¡alguien usó su lápiz! Después de usar el lápiz de Gabriel, la persona puso el lápiz en una canasta.","Aber während Gabriel draußen war, hat jemand seinen Bleistift benutzt! Nachdem die Person Gabriels Bleistift benutzt hatte, legte sie ihn in einen Becher.","But while Gabriel was outside, someone used his pencil! After using Gabriel’s pencil, the person put the pencil in a basket.","But while Gabriel was outside, someone used his pencil! After using Gabriel’s pencil, the person put the pencil in a basket.","Aber während Gabriel draußen war, hat jemand seinen Bleistift benutzt! Nachdem die Person Gabriels Bleistift benutzt hatte, legte sie ihn in einen Becher.","But while Gabriel was outside, someone used his pencil! After using Gabriel’s pencil, the person put the pencil in a basket.","But while Gabriel was outside, someone used his pencil! After using Gabriel’s pencil, the person put the pencil in a basket.",
ToM-scene13-instruct3,"theory-of-mind, Stories","So now it’s time for class, and Gabriel wants his pencil.",Es hora de ir a clase y Gabriel quiere su lápiz.,"Jetzt ist es Zeit für den Unterricht, und Gabriel sucht seinen Bleistift.","So now it’s time for class, and Gabriel wants his pencil.","So now it’s time for class, and Gabriel wants his pencil.","Jetzt ist es Zeit für den Unterricht, und Gabriel sucht seinen Bleistift.","So now it’s time for class, and Gabriel wants his pencil.","So now it’s time for class, and Gabriel wants his pencil.",
ToM-scene13-q1-false_belief,"theory-of-mind, Stories",Where will Gabriel look for his pencil?,¿Dónde buscará Gabriel su lápiz?,Wo wird Gabriel nach seinem Bleistift suchen?,Where will Gabriel look for his pencil?,Where will Gabriel look for his pencil?,Wo wird Gabriel nach seinem Bleistift suchen?,Where will Gabriel look for his pencil?,Where will Gabriel look for his pencil?,
box,"theory-of-mind, Stories",In the box,En la cartuchera,In der Federtasche,In the box,In the box,In der Federtasche,In the box,In the box,
basket,"theory-of-mind, Stories",In the basket,En la canasta,Im Becher,In the basket,In the basket,Im Becher,In the basket,In the basket,
ToM-scene13-q2-reality_check,"theory-of-mind, Stories",And where is his pencil really?,¿Y dónde está realmente su lápiz?,Und wo ist sein Bleistift wirklich?,And where is his pencil really?,And where is his pencil really?,Und wo ist sein Bleistift wirklich?,And where is his pencil really?,And where is his pencil really?,
ToM-scene14-instruct1,"theory-of-mind, Stories","This afternoon when he came home, Bobby put his soccer ball on the table.","Esta tarde, cuando llegó a casa, Roberto puso su balón de fútbol sobre la mesa.","Als er heute Nachmittag nach Hause kam, hat Bobby seinen Fußball auf den Tisch gelegt.","This afternoon when he came home, Bobby put his soccer ball on the table.","This afternoon when he came home, Bobby put his soccer ball on the table.","Als er heute Nachmittag nach Hause kam, hat Bobby seinen Fußball auf den Tisch gelegt.","This afternoon when he came home, Bobby put his soccer ball on the table.","This afternoon when he came home, Bobby put his soccer ball on the table.",
ToM-scene14-instruct2,"theory-of-mind, Stories","And then he went outside to play, see? Here’s Bobby playing outside. And while he was outside playing, Bobby’s soccer ball fell off the table and onto the floor.","Y luego salió a jugar, ¿ves? Aquí está Roberto jugando fuera. Y mientras estaba fuera jugando, el balón de fútbol de Roberto se cayó de la mesa y al suelo.","Und dann ging er nach draußen, um zu spielen, siehst du? Hier ist Bobby beim Spielen im Freien. Und während er draußen spielte, fiel Bobbys Fußball vom Tisch auf den Boden.","And then he went outside to play, see? Here’s Bobby playing outside. And while he was outside playing, Bobby’s soccer ball fell off the table and onto the floor.","And then he went outside to play, see? Here’s Bobby playing outside. And while he was outside playing, Bobby’s soccer ball fell off the table and onto the floor.","Und dann ging er nach draußen, um zu spielen, siehst du? Hier ist Bobby beim Spielen im Freien. Und während er draußen spielte, fiel Bobbys Fußball vom Tisch auf den Boden.","And then he went outside to play, see? Here’s Bobby playing outside. And while he was outside playing, Bobby’s soccer ball fell off the table and onto the floor.","And then he went outside to play, see? Here’s Bobby playing outside. And while he was outside playing, Bobby’s soccer ball fell off the table and onto the floor.",
ToM-scene14-instruct3,"theory-of-mind, Stories","Then Bobby’s sister Anna comes in. Anna also has a soccer ball! Anna puts her soccer ball on the table. Bobby is still outside playing, so he didn’t see what Anna was doing.","Entonces entra Anna, la hermana de Roberto. Anna también tiene un balón de fútbol. Anna pone su balón en la mesa. Roberto todavía está afuera jugando, así que no ve lo que hace Anna.","Dann kommt Bobbys Schwester Anna herein. Anna hat auch einen Fußball! Anna legt ihren Fußball auf den Tisch. Bobby ist immer noch draußen und spielt, deshalb hat er nicht gesehen, was Anna gemacht hat.","Then Bobby’s sister Anna comes in. Anna also has a soccer ball! Anna puts her soccer ball on the table. Bobby is still outside playing, so he didn’t see what Anna was doing.","Then Bobby’s sister Anna comes in. Anna also has a soccer ball! Anna puts her soccer ball on the table. Bobby is still outside playing, so he didn’t see what Anna was doing.","Dann kommt Bobbys Schwester Anna herein. Anna hat auch einen Fußball! Anna legt ihren Fußball auf den Tisch. Bobby ist immer noch draußen und spielt, deshalb hat er nicht gesehen, was Anna gemacht hat.","Then Bobby’s sister Anna comes in. Anna also has a soccer ball! Anna puts her soccer ball on the table. Bobby is still outside playing, so he didn’t see what Anna was doing.","Then Bobby’s sister Anna comes in. Anna also has a soccer ball! Anna puts her soccer ball on the table. Bobby is still outside playing, so he didn’t see what Anna was doing.",
ToM-scene14-q1-false_belief,"theory-of-mind, Stories","Now, when Bobby comes in from outside, where will he look first for his soccer ball?","Ahora, cuando Roberto vuelva de entrar, ¿dónde buscará primero su balón de fútbol?","Wenn Bobby jetzt von draußen reinkommt, wo wird er zuerst nach seinem Fußball suchen?","Now, when Bobby comes in from outside, where will he look first for his soccer ball?","Now, when Bobby comes in from outside, where will he look first for his soccer ball?","Wenn Bobby jetzt von draußen reinkommt, wo wird er zuerst nach seinem Fußball suchen?","Now, when Bobby comes in from outside, where will he look first for his soccer ball?","Now, when Bobby comes in from outside, where will he look first for his soccer ball?",
table,"theory-of-mind, Stories",On the table,En la mesa,Auf dem Tisch,On the table,On the table,Auf dem Tisch,On the table,On the table,
floor,"theory-of-mind, Stories",On the floor,En el suelo,Auf dem Boden,On the floor,On the floor,Auf dem Boden,On the floor,On the floor,
ToM-scene-14-instruct4,"theory-of-mind, Stories","Let’s see what he does. Oh look, here is Bobby reaching for the soccer ball on the table. And now Anna sees Bobby reaching for that soccer ball... the soccer ball that is Anna's!","Veamos lo que hace. Oh, mira, aquí está Roberto cogiendo el balón de fútbol que está en la mesa. Y ahora Anna ve a Roberto buscando el balón... ¡el balón que es de Anna!","Schauen wir mal, was er macht. Oh, sieh mal, hier ist Bobby, der nach dem Fußball auf dem Tisch greift. Und jetzt sieht Anna, wie Bobby nach dem Fußball greift ... dem Fußball, der Anna gehört!","Let’s see what he does. Oh look, here is Bobby reaching for the soccer ball on the table. And now Anna sees Bobby reaching for that soccer ball... the soccer ball that is Anna's!","Let’s see what he does. Oh look, here is Bobby reaching for the soccer ball on the table. And now Anna sees Bobby reaching for that soccer ball... the soccer ball that is Anna's!","Schauen wir mal, was er macht. Oh, sieh mal, hier ist Bobby, der nach dem Fußball auf dem Tisch greift. Und jetzt sieht Anna, wie Bobby nach dem Fußball greift ... dem Fußball, der Anna gehört!","Let’s see what he does. Oh look, here is Bobby reaching for the soccer ball on the table. And now Anna sees Bobby reaching for that soccer ball... the soccer ball that is Anna's!","Let’s see what he does. Oh look, here is Bobby reaching for the soccer ball on the table. And now Anna sees Bobby reaching for that soccer ball... the soccer ball that is Anna's!",
ToM-scene-14-q2-emotion_reasoning,"theory-of-mind, Stories",How do you think Anna feels about Bobby reaching for that soccer ball?,¿Cómo crees que se siente Anna cuando Roberto coge ese balón?,"Was denkst du, wie Anna sich fühlt, wenn Bobby nach dem Fußball greift?",How do you think Anna feels about Bobby reaching for that soccer ball?,How do you think Anna feels about Bobby reaching for that soccer ball?,"Was denkst du, wie Anna sich fühlt, wenn Bobby nach dem Fußball greift?",How do you think Anna feels about Bobby reaching for that soccer ball?,How do you think Anna feels about Bobby reaching for that soccer ball?,
ToM-scene-14-q3-emotion_reasoning,"theory-of-mind, Stories",How do you think Anna would feel if she had not seen Bobby reaching for the soccer ball?,¿Cómo crees que se sentiría Anna si no hubiera visto a Roberto intentando coger el balón?,"Was denkst du, wie Anna sich fühlen würde, wenn sie nicht gesehen hätte, wie Bobby nach dem Fußball gegriffen hat?",How do you think Anna would feel if she had not seen Bobby reaching for the soccer ball?,How do you think Anna would feel if she had not seen Bobby reaching for the soccer ball?,"Was denkst du, wie Anna sich fühlen würde, wenn sie nicht gesehen hätte, wie Bobby nach dem Fußball gegriffen hat?",How do you think Anna would feel if she had not seen Bobby reaching for the soccer ball?,How do you think Anna would feel if she had not seen Bobby reaching for the soccer ball?,
ToM-scene-14-q4-false_belief,"theory-of-mind, Stories",Is Bobby being mean and naughty for taking Anna’s soccer ball?,¿Roberto está siendo necio y travieso por coger el balón de fútbol de Anna?,"Ist Bobby gemein und frech, weil er Annas Fußball genommen hat?",Is Bobby being mean and naughty for taking Anna’s soccer ball?,Is Bobby being mean and naughty for taking Anna’s soccer ball?,"Ist Bobby gemein und frech, weil er Annas Fußball genommen hat?",Is Bobby being mean and naughty for taking Anna’s soccer ball?,Is Bobby being mean and naughty for taking Anna’s soccer ball?,
ToM-scene-14-q5-false_belief,"theory-of-mind, Stories",Should Bobby get in trouble with their mom for taking Anna’s soccer ball?,¿Debería Roberto estar en problemas con su madre por coger el balón de fútbol de Anna?,"Sollte Bobby Ärger mit seiner Mutter bekommen, weil er Annas Fußball genommen hat?",Should Bobby get in trouble with their mom for taking Anna’s soccer ball?,Should Bobby get in trouble with their mom for taking Anna’s soccer ball?,"Sollte Bobby Ärger mit seiner Mutter bekommen, weil er Annas Fußball genommen hat?",Should Bobby get in trouble with their mom for taking Anna’s soccer ball?,Should Bobby get in trouble with their mom for taking Anna’s soccer ball?,
ToM-scene-14-q6-reality_check,"theory-of-mind, Stories",Can you help Anna find her soccer ball? Is it on the table or on the floor?,¿Puedes ayudarle a Anna a encontrar su balón de fútbol? ¿Está sobre la mesa o en el suelo?,"Kannst du Anna helfen, ihren Fußball zu finden? Liegt er auf dem Tisch oder auf dem Boden?",Can you help Anna find her soccer ball? Is it on the table or on the floor?,Can you help Anna find her soccer ball? Is it on the table or on the floor?,"Kannst du Anna helfen, ihren Fußball zu finden? Liegt er auf dem Tisch oder auf dem Boden?",Can you help Anna find her soccer ball? Is it on the table or on the floor?,Can you help Anna find her soccer ball? Is it on the table or on the floor?,
ToM-scene-14-q7-reality_check,"theory-of-mind, Stories",Can you help Bobby find his soccer ball? Is it on the table or on the floor?,¿Puedes ayudarle a Roberto a encontrar su balón de fútbol? ¿Está sobre la mesa o en el suelo?,"Kannst du Bobby helfen, seinen Fußball zu finden? Liegt er auf dem Tisch oder auf dem Boden?",Can you help Bobby find his soccer ball? Is it on the table or on the floor?,Can you help Bobby find his soccer ball? Is it on the table or on the floor?,"Kannst du Bobby helfen, seinen Fußball zu finden? Liegt er auf dem Tisch oder auf dem Boden?",Can you help Bobby find his soccer ball? Is it on the table or on the floor?,Can you help Bobby find his soccer ball? Is it on the table or on the floor?,
ToM-scene-15-instruct1,"theory-of-mind, Stories","Alex, Beth, and Johnny are playing a game at the park. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Alex, Isabel y John están jugando un juego en el parque. En este juego uno de los niños se esconde, pero antes de esconderse, debe dibujar una pista en la arenera para que los otros puedan encontrarle.","Robin, Sina und Tobias spielen ein Spiel im Park. Das Spiel läuft folgendermaßen ab: Ein Kind versteckt sich, malt aber einen Hinweis in den Sandkasten, damit die anderen Kinder es finden können.","Alex, Beth, and Johnny are playing a game at the park. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Alex, Beth, and Johnny are playing a game at the park. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Robin, Sina und Tobias spielen ein Spiel im Park. Das Spiel läuft folgendermaßen ab: Ein Kind versteckt sich, malt aber einen Hinweis in den Sandkasten, damit die anderen Kinder es finden können.","Alex, Beth, and Johnny are playing a game at the park. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Alex, Beth, and Johnny are playing a game at the park. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ",
ToM-scene-15-instruct2,"theory-of-mind, Stories","Johnny decides to hide behind the flower bush. He draws a clue in the sand. Johnny means to draw the flower bush, but the drawing looks like a rock instead! Then Johnny goes to hide behind the flower bush.","John decide esconderse detrás de una planta con flores. Él dibuja una pista en la arena. Pero aunque John quiere dibujar la planta con flores, ¡su dibujo parece una roca! Al terminar su dibujo, John se va a esconder detrás de la planta con flores.","Tobias beschließt, sich hinter den Blumensträuchern zu verstecken. Er malt einen Hinweis in den Sand. Tobias will den Strauch zeichnen, aber die Zeichnung sieht stattdessen wie ein Stein aus! Dann versteckt sich Tobias hinter den Blumensträuchern.","Johnny decides to hide behind the flower bush. He draws a clue in the sand. Johnny means to draw the flower bush, but the drawing looks like a rock instead! Then Johnny goes to hide behind the flower bush.","Johnny decides to hide behind the flower bush. He draws a clue in the sand. Johnny means to draw the flower bush, but the drawing looks like a rock instead! Then Johnny goes to hide behind the flower bush.","Tobias beschließt, sich hinter den Blumensträuchern zu verstecken. Er malt einen Hinweis in den Sand. Tobias will den Strauch zeichnen, aber die Zeichnung sieht stattdessen wie ein Stein aus! Dann versteckt sich Tobias hinter den Blumensträuchern.","Johnny decides to hide behind the flower bush. He draws a clue in the sand. Johnny means to draw the flower bush, but the drawing looks like a rock instead! Then Johnny goes to hide behind the flower bush.","Johnny decides to hide behind the flower bush. He draws a clue in the sand. Johnny means to draw the flower bush, but the drawing looks like a rock instead! Then Johnny goes to hide behind the flower bush.",
ToM-scene-15-q1-reality_check,"theory-of-mind, Stories",What did Johnny mean to draw?,¿Qué quería dibujar John?,Was wollte Tobias zeichnen?,What did Johnny mean to draw?,What did Johnny mean to draw?,Was wollte Tobias zeichnen?,What did Johnny mean to draw?,What did Johnny mean to draw?,
flowerbush,"theory-of-mind, Stories",A flower bush,Una planta con flores,Einen Blumenstrauch,A flower bush,A flower bush,Einen Blumenstrauch,A flower bush,A flower bush,
rocks,"theory-of-mind, Stories",A rock,Una roca,Einen Felsen,A rock,A rock,Einen Felsen,A rock,A rock,
ToM-scene-15-q2-false_belief,"theory-of-mind, Stories","When Alex and Beth see this clue, where will they look first for Johnny? Behind the flower bush or behind the rock?","Cuando Alex e Isabel vean esta pista, ¿dónde buscarán primero a John? ¿Detrás de la planta con flores o detrás de la roca?","Wenn Robin und Sina diesen Hinweis sehen, wo werden sie zuerst nach Tobias suchen? Hinter dem Blumenstrauch oder hinter dem Felsen?","When Alex and Beth see this clue, where will they look first for Johnny? Behind the flower bush or behind the rock?","When Alex and Beth see this clue, where will they look first for Johnny? Behind the flower bush or behind the rock?","Wenn Robin und Sina diesen Hinweis sehen, wo werden sie zuerst nach Tobias suchen? Hinter dem Blumenstrauch oder hinter dem Felsen?","When Alex and Beth see this clue, where will they look first for Johnny? Behind the flower bush or behind the rock?","When Alex and Beth see this clue, where will they look first for Johnny? Behind the flower bush or behind the rock?",
ToM-scene-15-q3-reality_check,"theory-of-mind, Stories",Can you help them find where Johnny really is?,¿Puedes ayudarles a encontrar dónde se esconde John realmente?,"Kannst du ihnen helfen, herauszufinden, wo Tobias wirklich ist?",Can you help them find where Johnny really is?,Can you help them find where Johnny really is?,"Kannst du ihnen helfen, herauszufinden, wo Tobias wirklich ist?",Can you help them find where Johnny really is?,Can you help them find where Johnny really is?,
behind-flowerbush,"theory-of-mind, Stories",Behind the flower bush,Detrás de la planta con flores,Hinter dem Blumenstrauch,Behind the flower bush,Behind the flower bush,Hinter dem Blumenstrauch,Behind the flower bush,Behind the flower bush,
behind-rock,"theory-of-mind, Stories",Behind the rock,Detrás de la roca,Hinter dem Felsen,Behind the rock,Behind the rock,Hinter dem Felsen,Behind the rock,Behind the rock,
ToM-scene-15-q4-emotion_reasoning,"theory-of-mind, Stories","Look, Alex and Beth found Johnny, and won the game! How do you think Alex and Beth feel about winning the game?","Mira, Alex e Isabel encontraron a John y ganaron el juego. ¿Cómo crees que se sienten Alex e Isabel por ganar el juego?","Schau, Robin und Sina haben Tobias gefunden und das Spiel gewonnen! Was denkst du, wie Robin und Sina sich fühlen, weil sie das Spiel gewonnen haben?","Look, Alex and Beth found Johnny, and won the game! How do you think Alex and Beth feel about winning the game?","Look, Alex and Beth found Johnny, and won the game! How do you think Alex and Beth feel about winning the game?","Schau, Robin und Sina haben Tobias gefunden und das Spiel gewonnen! Was denkst du, wie Robin und Sina sich fühlen, weil sie das Spiel gewonnen haben?","Look, Alex and Beth found Johnny, and won the game! How do you think Alex and Beth feel about winning the game?","Look, Alex and Beth found Johnny, and won the game! How do you think Alex and Beth feel about winning the game?",
ToM-scene-16-instruct1,"theory-of-mind, Stories",Dad tells James and Sophie to get ready for school. Dad tells them to put on their shoes.,El papá les dice a Jaime y a Sofía que se preparen para ir al colegio. El papá les dice que se pongan los zapatos.,"Papa sagt Jakob und Sophie, sie sollen sich für die Schule fertig machen. Papa sagt ihnen, dass sie ihre Schuhe anziehen sollen.",Dad tells James and Sophie to get ready for school. Dad tells them to put on their shoes.,Dad tells James and Sophie to get ready for school. Dad tells them to put on their shoes.,"Papa sagt Jakob und Sophie, sie sollen sich für die Schule fertig machen. Papa sagt ihnen, dass sie ihre Schuhe anziehen sollen.",Dad tells James and Sophie to get ready for school. Dad tells them to put on their shoes.,Dad tells James and Sophie to get ready for school. Dad tells them to put on their shoes.,
ToM-scene-16-instruct2,"theory-of-mind, Stories",Sophie can’t find one of her shoes! She’s looking everywhere but she can't find it.,"Sofía no encuentra uno de sus zapatos. Lo está buscando por todas partes, pero no lo encuentra.","Sophie kann einen ihrer Schuhe nicht finden! Sie sucht überall, aber sie kann ihn nicht finden.",Sophie can’t find one of her shoes! She’s looking everywhere but she can't find it.,Sophie can’t find one of her shoes! She’s looking everywhere but she can't find it.,"Sophie kann einen ihrer Schuhe nicht finden! Sie sucht überall, aber sie kann ihn nicht finden.",Sophie can’t find one of her shoes! She’s looking everywhere but she can't find it.,Sophie can’t find one of her shoes! She’s looking everywhere but she can't find it.,
ToM-scene-16-q1-emotion_reasoning,"theory-of-mind, Stories",How does Sophie feel about losing her shoe? ,¿Cómo se siente Sofía por perder su zapato?,"Wie fühlt sich Sophie, weil sie ihren Schuh verloren hat?",How does Sophie feel about losing her shoe? ,How does Sophie feel about losing her shoe? ,"Wie fühlt sich Sophie, weil sie ihren Schuh verloren hat?",How does Sophie feel about losing her shoe? ,How does Sophie feel about losing her shoe? ,
ToM-scene-16-q2-emotion_reasoning,"theory-of-mind, Stories",How would Sophie feel if she found her shoe?,¿Cómo se sentiría Sofía si encontrara su zapato?,"Wie würde sich Sophie fühlen, wenn sie ihren Schuh finden würde?",How would Sophie feel if she found her shoe?,How would Sophie feel if she found her shoe?,"Wie würde sich Sophie fühlen, wenn sie ihren Schuh finden würde?",How would Sophie feel if she found her shoe?,How would Sophie feel if she found her shoe?,
